Fecha,Futuros,Precio Interno ($/125 Kg),TRM
2021-01-05,125.1,1058000.0,3420.78
2021-01-04,126.15,1066000.0,3432.5
2021-01-03,,1073000.0,3432.5
2021-01-02,,1073000.0,3432.5
2021-01-01,,1073000.0,3432.5
2020-12-31,128.25,1073000.0,3432.5
2020-12-30,125.4,1053000.0,3482.1
2020-12-29,125.4,1070000.0,3495.39
2020-12-28,123.35,1063000.0,3493.77
2020-12-27,,1086000.0,3493.77
2020-12-26,,1086000.0,3493.77
2020-12-25,,1086000.0,3493.77
2020-12-24,125.95,1086000.0,3482.51
2020-12-23,124.55,1071000.0,3444.9
2020-12-22,124.2,1058000.0,3442.41
2020-12-21,124.3,1048000.0,3420.26
2020-12-20,,1052000.0,3420.26
2020-12-19,,1052000.0,3420.26
2020-12-18,123.7,1052000.0,3410.82
2020-12-17,125.05,1059000.0,3416.21
2020-12-16,125.05,1061000.0,3422.44
2020-12-15,123.1,1047000.0,3426.97
2020-12-14,123.55,1060000.0,3433.45
2020-12-13,,1030000.0,3433.45
2020-12-12,,1030000.0,3433.45
2020-12-11,119.1,1030000.0,3448.89
2020-12-10,118.55,1022000.0,3465.76
2020-12-09,114.9,1010000.0,3487.65
2020-12-08,117.1,1030000.0,3487.65
2020-12-07,116.95,1029000.0,3467.49
2020-12-06,,1010000.0,3467.49
2020-12-05,,1010000.0,3467.49
2020-12-04,115.35,1010000.0,3481.44
2020-12-03,117.65,1027000.0,3533.21
2020-12-02,116.85,1037000.0,3558.57
2020-12-01,115.65,1040000.0,3591.84
2020-11-30,120.7,1090000.0,3611.44
2020-11-29,,1100000.0,3611.44
2020-11-28,,1100000.0,3611.44
2020-11-27,121.7,1100000.0,3620.39
2020-11-26,,1049000.0,3620.39
2020-11-25,114.5,1049000.0,3643.24
2020-11-24,113.15,1045000.0,3632.92
2020-11-23,114.45,1054000.0,3649.9
2020-11-22,,1058000.0,3649.9
2020-11-21,,1058000.0,3649.9
2020-11-20,115.5,1058000.0,3647.1
2020-11-19,120.65,1105000.0,3647.73
2020-11-18,119.75,1100000.0,3635.19
2020-11-17,116.2,1075000.0,3639.95
2020-11-16,115.65,1069000.0,3639.95
2020-11-15,,1020000.0,3639.95
2020-11-14,,1020000.0,3639.95
2020-11-13,109.25,1020000.0,3646.22
2020-11-12,110.1,1025000.0,3650.5
2020-11-11,109.1,1012000.0,3650.5
2020-11-10,107.3,996000.0,3646.15
2020-11-09,106.85,997000.0,3738.19
2020-11-08,,1015000.0,3738.19
2020-11-07,,1015000.0,3738.19
2020-11-06,106.95,1015000.0,3763.82
2020-11-05,105.95,1015000.0,3807.13
2020-11-04,103.0,1010000.0,3823.45
2020-11-03,103.45,1013000.0,3858.56
2020-11-02,102.8,1023000.0,3858.56
2020-11-01,,1035000.0,3858.56
2020-10-31,,1035000.0,3858.56
2020-10-30,104.4,1035000.0,3849.53
2020-10-29,104.6,1035000.0,3841.46
2020-10-28,105.0,1030000.0,3810.23
2020-10-27,106.95,1039000.0,3812.82
2020-10-26,106.65,1039000.0,3782.66
2020-10-25,,1025000.0,3782.66
2020-10-24,,1025000.0,3782.66
2020-10-23,105.6,1025000.0,3776.73
2020-10-22,106.7,1033000.0,3784.51
2020-10-21,104.15,1010000.0,3830.79
2020-10-20,104.9,1032000.0,3842.76
2020-10-19,106.05,1046000.0,3846.48
2020-10-18,,1055000.0,3846.48
2020-10-17,,1055000.0,3846.48
2020-10-16,107.25,1055000.0,3854.47
2020-10-15,109.5,1073000.0,3843.59
2020-10-14,109.6,1070000.0,3856.32
2020-10-13,110.1,1080000.0,3824.25
2020-10-12,109.15,1064000.0,3824.25
2020-10-11,,1082000.0,3824.25
2020-10-10,,1082000.0,3824.25
2020-10-09,111.55,1082000.0,3839.73
2020-10-08,110.25,1075000.0,3837.79
2020-10-07,109.6,1071000.0,3826.77
2020-10-06,107.65,1053000.0,3843.75
2020-10-05,107.2,1048000.0,3881.8
2020-10-04,,1074000.0,3881.8
2020-10-03,,1074000.0,3881.8
2020-10-02,108.95,1074000.0,3842.34
2020-10-01,107.05,1051000.0,3865.47
2020-09-30,110.95,1077000.0,3878.94
2020-09-29,109.55,1083000.0,3859.9
2020-09-28,109.55,1080000.0,3867.81
2020-09-27,,1115000.0,3867.81
2020-09-26,,1115000.0,3867.81
2020-09-25,113.65,1115000.0,3873.8
2020-09-24,111.15,1078000.0,3863.6
2020-09-23,110.5,1070000.0,3813.3
2020-09-22,110.65,1075000.0,3790.54
2020-09-21,112.0,1075000.0,3725.37
2020-09-20,,1070000.0,3725.37
2020-09-19,,1070000.0,3725.37
2020-09-18,113.6,1070000.0,3714.65
