Fecha,Vol. Futuros,PI,MHI,FNI,SI
2020-11-26,2.97809586888492,1.73,23.15,0.31,5.35
2020-11-27,3.120321831033816,0.37,25.83,3.57,-4.69
2020-11-28,1.964289045451832,1.83,32.21,0.42,-3.7
2020-11-29,0.0073215931374394,2.6,47.4,0.0,-3.41
2020-11-30,2.78205464131397,3.78,34.87,0.0,-1.05
2020-12-01,4.273973942603764,3.41,55.43,0.38,-13.5
2020-12-02,1.032267230741874,1.84,47.83,1.58,-4.67
2020-12-03,0.6823054188504716,3.74,46.88,0.1,-12.79
2020-12-04,1.974313055360886,2.52,40.54,0.78,2.75
2020-12-05,0.7374513500124452,0.81,37.82,0.67,2.96
2020-12-06,0.8048603796258484,3.42,26.58,1.32,3.81
2020-12-07,1.3101418114291377,0.41,45.93,0.0,2.97
2020-12-08,0.1281777573483601,1.69,46.81,0.3,8.59
2020-12-09,1.8966085748961603,2.77,24.0,2.69,9.39
2020-12-10,3.1272627656704515,3.03,37.59,0.28,9.4
2020-12-11,0.4628663849840002,1.16,40.19,1.16,2.75
2020-12-12,1.0585802578357169,4.15,35.36,0.4,-2.42
2020-12-13,1.7906685375964584,11.61,56.93,0.37,-6.45
2020-12-14,0.8189968119042876,1.84,35.17,1.05,-6.74
2020-12-15,0.3648899244211221,4.71,41.19,3.01,-5.81
2020-12-16,1.571670410122981,1.92,35.58,1.44,-9.9
2020-12-17,7.99680096363875e-06,1.52,42.24,0.0,-12.55
2020-12-18,1.0854377925185816,1.21,30.8,0.26,-13.6
2020-12-19,0.2713064319186639,1.66,49.05,0.24,-10.09
2020-12-20,0.3941925329579669,4.0,46.8,0.4,-4.15
2020-12-21,0.3609858107830235,1.35,36.15,1.35,-6.55
2020-12-22,0.0804829017287039,9.69,61.34,0.19,-8.54
2020-12-23,0.281407220881105,37.74,62.9,0.38,-7.16
2020-12-24,1.1177761090429714,44.77,72.06,0.52,-3.54
2020-12-25,0.225729459972935,15.41,48.69,3.2,-1.75
2020-12-26,1.2276991596925624,10.7,81.41,0.52,0.15
2020-12-27,1.032187374147404,3.5,66.43,0.7,-1.92
2020-12-28,0.3997000114875456,3.7,49.74,0.53,0.04
2020-12-29,1.648286496826824,1.39,68.1,0.88,-2.28
2020-12-30,7.974481337929537e-06,0.83,73.17,0.31,-5.33
2020-12-31,2.2472855852058577,1.68,37.74,0.36,-6.9
2021-01-01,1.036149251833146,1.8,54.21,0.72,-10.25
2021-01-02,0.5862810293291678,7.63,54.24,2.12,-13.12
2021-01-03,1.2274537163828605,1.3,77.14,0.78,-13.12
2021-01-04,0.8733954025023426,4.09,39.55,2.27,-9.55
2021-01-05,0.8358257614201359,0.81,33.43,0.3,-4.41
2021-01-06,3.4149659852118366,1.04,50.74,0.43,-9.64
2021-01-07,0.1652892938299594,1.16,43.26,0.21,-7.93
2021-01-08,2.124262883939581,14.7,42.82,0.54,-6.71
2021-01-09,0.4912127947270844,2.82,33.9,0.14,-10.5
2021-01-10,0.9674038884658388,24.26,52.15,0.0,-9.35
2021-01-11,1.3594713012873068,0.84,21.08,0.0,-8.52
2021-01-12,0.0411776822783592,0.4,22.71,0.24,-9.91
2021-01-13,3.1220861339576143,1.78,39.54,0.34,-8.31
2021-01-14,1.6627461460491832,0.66,25.86,0.07,-7.22
2021-01-15,0.6262251384614294,1.75,31.63,0.46,-4.18
2021-01-16,0.5570959860640303,1.63,34.07,0.67,-3.09
2021-01-17,0.3167389165471437,2.29,56.54,0.16,-5.53
2021-01-18,0.3126510489137863,0.28,47.37,25.04,-8.72
2021-01-19,1.3445799478925478,0.47,43.56,0.65,-8.9
2021-01-20,1.5455033202130486,0.66,46.46,0.0,-9.24
2021-01-21,0.9934514449976062,0.53,47.53,0.33,-10.51
2021-01-22,1.916226297816419,1.28,46.37,0.07,-12.21
2021-01-23,1.4038011029026043,13.54,48.78,12.36,-12.49
2021-01-24,0.0048358151145005,6.22,43.14,4.94,-8.82
2021-01-25,0.75197556628705,4.51,42.94,0.59,-4.98
2021-01-26,1.009090298196272,2.85,44.02,2.21,-5.15
